Name,Area,Growth Rate
Alameda,739.02,8.856124885
Alpine,738.33,-7.672413793
Amador,594.58,-1.283371623
Butte,"1,636.46",3.127968979
Calaveras,"1,020.01",-0.640095024
Colusa,"1,150.73",0.662128136
Contra Costa,715.94,7.812133444
Del Norte,"1,006.37",-3.5781808
El Dorado,"1,707.88",2.468631488
Fresno,"5,957.99",5.088888245
Glenn,"1,313.95",-0.085381906
Humboldt,"3,567.99",1.195272232
Imperial,"4,176.60",3.508992795
Inyo,"10,180.88",-1.993193972
Kern,"8,131.92",5.122161022
Kings,"1,389.42",-1.695237845
Lake,"1,256.46",-0.968444465
Lassen,"4,541.18",-11.38986165
Los Angeles,"4,057.88",3.179918158
Madera,"2,137.07",2.38122026
Marin,520.31,3.046104702
Mariposa,"1,448.82",-4.654983571
Mendocino,"3,506.34",-0.203856185
Merced,"1,934.97",4.610424754
Modoc,"3,917.77",-9.283135637
Mono,"3,048.98",-1.860171276
Monterey,"3,280.60",4.518809361
Napa,748.36,3.912639881
Nevada,957.77,0.329007309
Orange,790.57,5.132641426
Placer,"1,407.01",8.650502236
Plumas,"2,553.04",-6.481574455
Riverside,"7,206.48",8.423976467
Sacramento,964.64,6.500761594
San Benito,"1,388.71",6.948194549
San Bernardino,"20,056.94",4.826402529
San Diego,"4,206.63",6.874330374
San Francisco,46.87,8.081874887
San Joaquin,"1,391.32",6.739940062
San Luis Obispo,"3,298.57",4.808287238
San Mateo,448.41,6.23139589
Santa Barbara,"2,735.09",5.130585585
Santa Clara,"1,290.10",7.431000254
Santa Cruz,445.17,4.331294868
Shasta,"3,775.40",1.303293481
Sierra,953.21,-8.47826087
Siskiyou,"6,277.89",-2.966441161
Solano,821.77,6.321461522
Sonoma,"1,575.85",3.764925735
Stanislaus,"1,494.83",5.087495294
Sutter,602.41,1.946079362
Tehama,"2,949.71",-0.464048072
Trinity,"3,179.25",-7.1413004
Tulare,"4,824.22",3.916647671
Tuolumne,"2,220.88",-2.497191113
Ventura,"1,843.13",2.958609994
Yolo,"1,014.69",7.299052317
Yuba,631.84,4.048599784
