county,countycode
Alameda,CAALAM1
Alpine,CAALPI3
Amador,CAAMAD5
Butte,CABUTT5
Calaveras,CACALA9
Colusa,CACOLU1
Contra Costa,CACONT3
Del Norte,CADELN5
El Dorado,CAELDO5
Fresno,CAFRES9
Glenn,CAGLEN1
Humboldt,CAHUMB0
Imperial,CAIMPE5
Inyo,CAINYO7
Kern,CAKERN0
Kings,CAKING3
Lake,CALAKE3
Lassen,CALASS5
Los Angeles,CALOSA7
Madera,CAMADE0
Marin,CAMARI5
Mariposa,CAMARI3
Mendocino,CAMEND5
Merced,CAMERC0
Modoc,CAMODO9
Mono,CAMONO1
Monterey,CAMONT2
Napa,CANAPA0
Nevada,CANEVA0
Orange,CAORAN7
Placer,CAPLAC0
Plumas,CAPLUM3
Riverside,CARIVE5
Sacramento,CASACR5
San Benito,CASANB9
San Bernardino,CASANB1
San Diego,CASAND5
San Francisco,CASANF0
San Joaquin,CASANJ8
San Luis Obispo,CASANL9
San Mateo,CASANM0
Santa Barbara,CASANT1
Santa Clara,CASANT5
Santa Cruz,CASANT3
Shasta,CASHAS5
Sierra,CASIER1
Siskiyou,CASISK3
Solano,CASOLA5
Sonoma,CASONO6
Stanislaus,CASTAN7
Sutter,CASUTT0
Tehama,CATEHA3
Trinity,CATRIN5
Tulare,CATULA1
Tuolumne,CATUOL9
Ventura,CAVENT2
Yolo,CAYOLO3
Yuba,CAYUBA5
